country,pred_area
Afghanistan,120.91785
Albania,0.24440497
Andorra,3.7827864
Armenia,9.163417
Australia,7.88016
Austria,2.4471507
Azerbaijan,84.193436
Bahrain,42.989902
Bangladesh,13.125053
Belarus,5.229558
Belgium,-3.7470956
Bhutan,-1.4970676
Bosnia and Herzegovina,-0.08067581
Botswana,8.193228
Brunei Darussalam,6.152092
Bulgaria,13.036158
Burundi,13.610311
Madagascar,-3.9153955
Cambodia,10.04604
China,11.450016
Bulgaria,9.774868
Comoros,8.669368
Croatia,8.164542
Cyprus,13.125053
Czech Republic,4.485493
Denmark,3.6622143
Djibouti,39.489002
Egypt,40.789364
Eritrea,5.1997714
Estonia,0.751605
Swaziland,10.441095
Ethiopia,3.5358438
Fiji Islands,12.693806
Finland,-0.7767665
France,17.046835
Georgia,-5.3829317
Germany,6.680763
Greece,17.248934
Vatican City,11.752333
Hungary,9.167647
India,11.246075
Indonesia,4.4239445
Iran,64.50703
Iraq,34.87254
Israel,41.66678
Italy,11.752333
Japan,14.424324
Jordan,38.093525
Kazakhstan,7.2801948
Kenya,7.265683
Kiribati,41.013947
Kuwait,46.234753
Kyrghyzstan,4.2382436
Indonesia,-2.6886256
Latvia,-0.08067581
Lebanon,43.329754
Lesotho,121.61377
Thailand,4.412604
Liechtenstein,-2.3747354
Lithuania,0.67855567
Luxembourg,10.27806
Madagascar,3.135464
Malawi,16.387732
Malaysia,6.3000584
Maldives,49.66555
Malta,12.61826
Marshall Islands,40.30577
Mauritius,-3.7470956
Micronesia,40.416496
Russia,3.795768
Monaco,14.07447
Mongolia,5.1611385
Montenegro,7.8927917
Mozambique,12.507026
Myanmar,10.087005
Namibia,73.526215
Turkey,84.193436
Nepal,52.854786
Netherlands,-3.8513105
New Zealand,13.628165
North Korea,-5.446599
Macedonia,8.164542
Norway,5.546624
Oman,37.58541
Pakistan,19.46942
Palau,48.214268
Papua New Guinea,49.398075
Philippines,38.957016
Poland,8.226088
Qatar,49.03813
Romania,11.440275
Russia,10.214472
Rwanda,83.9961
Samoa,41.09768
San Marino,-1.0103581
Belgium,-3.8513105
Saudi Arabia,35.403275
Serbia,-1.5986063
Seychelles Islands,41.928234
Singapore,41.618546
Slovakia,7.0950913
Slovenia,4.9563155
Solomon Islands,42.251934
Somalia,16.01611
South Africa,11.440275
South Korea,7.9021444
Sudan,51.326836
Spain,10.654601
Sri Lanka,11.324674
Sudan,29.874693
Sweden,8.226088
Switzerland,1.6522497
Syria,53.86937
Tajikistan,4.07145
Tanzania,4.0342507
Thailand,41.66678
Timor-Leste,0.010366595
Bulgaria,7.6447716
Tonga,15.5876465
Tunisia,14.407918
Turkey,8.465651
Turkmenistan,10.637029
Tuvalu,37.98751
Uganda,15.044938
Ukraine,9.740012
United Arab Emirates,37.707626
United Kingdom,4.015106
Uzbekistan,9.705907
Vanuatu,13.521777
Vietnam,45.10356
Yemen,3.4108245
Zambia,24.098242
Zimbabwe,11.542334
Algeria,9.703626
Angola,10.871531
Antigua and Barbuda,41.09768
Argentina,6.4791083
Bahamas,42.52273
Barbados,42.073338
Belize,42.073338
Benin,13.046454
Bolivia,74.32513
Brazil,46.30825
Burkina Faso,12.4844675
Cape Verde,13.125053
Cameroon,9.5858965
Canada,104.29661
Central African Republic,11.76782
Chad,42.64102
Chile,13.346121
Congo,6.931227
Costa Rica,52.246414
Cuba,45.17082
Democratic Republic of Congo,6.931227
Dominica,36.331448
Dominican Republic,41.962612
Ecuador,8.873608
El Salvador,43.02984
Equatorial Guinea,14.624854
Gabon,13.125053
Gambia,39.45357
Ghana,13.046454
Grenada,42.073338
Guatemala,13.1223135
Guinea,48.214268
Guinea-Bissau,6.1407514
Guyana,43.02984
Haiti,40.86589
Honduras,34.075584
Iceland,7.0907183
Ireland,8.630475
Jamaica,41.67588
Liberia,4.258282
Mali,1.0938126
Mauritania,37.70648
Mexico,8.496493
Morocco,-3.8513105
Nicaragua,45.324028
Niger,41.556053
Nigeria,13.150195
Bolivia,38.89987
Panama,6.3000584
Paraguay,35.51388
Peru,13.052625
Portugal,13.193964
Saint Kitts and Nevis,41.11055
Saint Lucia,47.30792
Saint Vincent and the Grenadines,42.52273
Senegal,40.161884
Sierra Leone,10.531784
Suriname,6.073493
Trinidad and Tobago,42.073338
United States of America,46.85323
Uruguay,11.512756
Venezuela,42.185757
