country,pred_area
Australia,4.1021714
Bangladesh,22.529997
Bhutan,5.0546494
Brunei Darussalam,7.581595
Cambodia,18.972254
China,12.807823
Fiji Islands,6.1070323
India,4.2717075
Indonesia,15.918139
Japan,10.547205
Kazakhstan,8.999837
Kiribati,13.093871
Kyrghyzstan,8.4983425
Indonesia,19.638735
Thailand,12.416828
Malaysia,6.1070323
Marshall Islands,4.607944
Micronesia,7.5936713
Russia,4.570909
Mongolia,4.6445117
Myanmar,14.392142
Nepal,4.051487
New Zealand,-1.3422817
North Korea,8.442594
Palau,7.64942
Papua New Guinea,15.300128
Philippines,19.50832
Samoa,4.7373576
Singapore,19.50832
Solomon Islands,17.507399
South Korea,9.234994
Sri Lanka,6.1070323
Thailand,18.972254
Timor-Leste,5.27734
Tonga,7.3540664
Tuvalu,18.134462
Vanuatu,14.315413
Vietnam,7.246084
Afghanistan,0.750726
Albania,8.473723
Algeria,7.3669863
Andorra,8.999837
Angola,12.702993
Antigua and Barbuda,16.346273
Argentina,15.063655
Armenia,4.638734
Austria,15.36903
Azerbaijan,8.75066
Bahamas,8.577503
Bahrain,13.571539
Barbados,4.934914
Belarus,7.5600495
Belgium,16.229826
Belize,8.5900135
Benin,11.652431
Bolivia,-2.0726545
Bosnia and Herzegovina,4.570909
Botswana,5.487659
Brazil,9.5113945
Bulgaria,27.448114
Burkina Faso,5.939858
Burundi,6.7489977
Madagascar,35.77656
Cape Verde,7.310045
Cameroon,7.0114546
Canada,4.781634
Central African Republic,12.591786
Chad,15.98606
Chile,3.0183225
Bulgaria,9.976436
Comoros,15.941503
Congo,19.417465
Costa Rica,6.8755703
Croatia,4.7937956
Cuba,4.9044647
Cyprus,2.2495308
Czech Republic,7.4129605
Democratic Republic of Congo,19.417465
Denmark,7.5600495
Djibouti,21.063002
Dominica,18.777042
Dominican Republic,7.5936713
Ecuador,11.151783
Egypt,2.9934285
El Salvador,0.6505887
Equatorial Guinea,11.308783
Eritrea,2.1086154
Estonia,7.6278744
Swaziland,13.384581
Ethiopia,-0.48149976
Finland,7.6278744
France,3.172037
Gabon,4.540119
Gambia,7.6651883
Georgia,8.4983425
Germany,4.7259707
Ghana,10.330547
Greece,7.609245
Grenada,5.994305
Guatemala,4.7489104
Guinea,2.6428626
Guinea-Bissau,3.0223324
Guyana,6.5220504
Haiti,13.5255995
Vatican City,6.4855895
Honduras,8.513415
Hungary,7.033934
Iceland,8.442594
Iran,3.2617679
Iraq,5.5823436
Ireland,7.246963
Israel,0.6038942
Italy,6.4855895
Jamaica,13.667246
Jordan,12.498076
Kenya,8.311115
Kuwait,10.682041
Latvia,7.5600495
Lebanon,3.518726
Lesotho,6.5279727
Liberia,13.840751
Liechtenstein,9.42102
Lithuania,7.5600495
Luxembourg,3.2861822
Madagascar,8.248709
Malawi,7.8196974
Maldives,7.2549906
Mali,8.938898
Malta,4.1021714
Mauritania,8.622777
Mauritius,19.048851
Mexico,9.452943
Monaco,10.43046
Montenegro,5.8262315
Morocco,3.6252966
Mozambique,15.347185
Namibia,44.01301
Turkey,0.96792203
Netherlands,16.435291
Nicaragua,0.6505887
Niger,6.302403
Nigeria,5.2607174
Macedonia,27.462637
Norway,8.132167
Oman,18.06245
Pakistan,3.3764172
Bolivia,4.161772
Panama,6.310669
Paraguay,17.831848
Peru,19.572742
Poland,7.1360235
Portugal,7.434811
Qatar,6.5833616
Romania,3.9013844
Russia,7.5600495
Rwanda,-3.412541
Saint Kitts and Nevis,11.827431
Saint Lucia,11.116882
Saint Vincent and the Grenadines,6.9089055
San Marino,7.731414
Belgium,9.25502
Saudi Arabia,-0.8354299
Senegal,8.3644
Serbia,9.249725
Seychelles Islands,13.093871
Sierra Leone,9.702092
Slovakia,7.033934
Slovenia,4.570909
Somalia,17.192835
South Africa,5.0717726
Sudan,4.285904
Spain,4.6953855
Sudan,4.3629875
Suriname,18.8277
Sweden,7.5600495
Switzerland,9.25502
Syria,15.223674
Tajikistan,4.570909
Tanzania,15.084423
Bulgaria,9.325258
Trinidad and Tobago,7.1195016
Tunisia,4.1021714
Turkey,3.1311219
Turkmenistan,8.999837
Uganda,18.611134
Ukraine,6.283082
United Arab Emirates,8.354875
United Kingdom,16.471857
United States of America,4.570909
Uruguay,8.585505
Uzbekistan,3.9692087
Venezuela,15.422542
Yemen,3.1220894
Zambia,5.9148107
Zimbabwe,7.17599
