country,pred_area
Australia,8.4795685
Fiji Islands,3.6729693
Japan,31.549915
Kiribati,15.626035
Marshall Islands,16.701008
Micronesia,6.8344355
New Zealand,31.976126
North Korea,40.51039
Palau,16.701008
Papua New Guinea,5.6566205
Samoa,5.6566205
Solomon Islands,13.598273
South Korea,5.666394
Timor-Leste,5.7452145
Tonga,24.941448
Tuvalu,2.7554812
Vanuatu,23.839682
Afghanistan,12.397038
Albania,28.677834
Algeria,20.545227
Andorra,37.73209
Angola,14.789952
Antigua and Barbuda,18.698921
Argentina,66.71133
Armenia,1.461015
Austria,31.71182
Azerbaijan,13.566283
Bahamas,14.993394
Bahrain,20.204046
Bangladesh,13.17711
Barbados,15.84934
Belarus,33.05455
Belgium,34.50824
Belize,14.303935
Benin,20.902056
Bhutan,2.845952
Bolivia,28.281754
Bosnia and Herzegovina,32.95998
Botswana,5.0137157
Brazil,9.383158
Brunei Darussalam,10.913917
Bulgaria,33.890106
Burkina Faso,23.879112
Burundi,14.507377
Madagascar,12.869986
Cape Verde,6.345934
Cambodia,12.215514
Cameroon,11.956478
Canada,33.12769
Central African Republic,20.147806
Chad,23.72732
Chile,6.994211
China,12.822911
Bulgaria,35.394024
Comoros,8.920146
Congo,6.3918495
Costa Rica,7.7043295
Croatia,66.95413
Cuba,26.412075
Cyprus,37.876255
Czech Republic,35.392582
Democratic Republic of Congo,6.3918495
Denmark,29.889309
Djibouti,18.698921
Dominica,7.6903863
Dominican Republic,14.789952
Ecuador,16.582308
Egypt,5.648361
El Salvador,11.561318
Equatorial Guinea,15.275023
Eritrea,31.151428
Estonia,33.55145
Swaziland,24.932257
Ethiopia,28.395294
Finland,36.435486
France,31.187786
Gabon,17.556955
Gambia,12.968727
Georgia,32.721363
Germany,32.02758
Ghana,12.722621
Greece,31.067924
Grenada,6.033543
Guatemala,33.03665
Guinea,12.722621
Guinea-Bissau,6.4336214
Guyana,6.1884074
Haiti,3.933999
Vatican City,29.21855
Honduras,26.954252
Hungary,30.578228
Iceland,33.12769
India,4.513004
Indonesia,5.4785705
Iran,12.298247
Iraq,4.102109
Ireland,31.196066
Israel,18.320528
Italy,29.21855
Jamaica,9.87497
Jordan,18.309452
Kazakhstan,34.109184
Kenya,26.377728
Kuwait,19.37294
Kyrghyzstan,4.290208
Indonesia,5.973453
Latvia,33.55145
Lebanon,36.79464
Lesotho,29.467073
Liberia,19.327171
Thailand,5.54209
Liechtenstein,37.924023
Lithuania,33.271797
Luxembourg,37.924023
Madagascar,29.56712
Malawi,29.474741
Malaysia,17.684052
Maldives,8.491255
Mali,23.72732
Malta,6.19074
Mauritania,4.617091
Mauritius,32.913788
Mexico,36.537212
Iran,41.89834
Monaco,8.077268
Mongolia,27.02639
Montenegro,7.246627
Morocco,34.456203
Mozambique,23.79029
Myanmar,12.722621
Namibia,6.0168133
Turkey,27.399282
Nepal,50.738564
Netherlands,32.307518
Nicaragua,22.16673
Niger,23.72732
Nigeria,23.72732
Macedonia,28.552723
Norway,33.12769
Oman,3.6068747
Pakistan,31.591694
Bolivia,14.46656
Panama,6.4387484
Paraguay,20.906935
Peru,36.091217
Philippines,12.8129635
Poland,34.50824
Portugal,32.340885
Qatar,25.118046
Romania,32.95998
Russia,33.05455
Rwanda,28.420923
Saint Kitts and Nevis,14.379461
Saint Lucia,8.402513
Saint Vincent and the Grenadines,4.776229
San Marino,30.569221
Switzerland,39.77534
Saudi Arabia,5.900208
Senegal,31.958073
Serbia,30.66558
Seychelles Islands,2.7554812
Sierra Leone,13.8723545
Singapore,17.766401
Slovakia,30.624485
Slovenia,32.134037
Somalia,9.4619055
South Africa,8.770163
Sudan,23.72732
Spain,16.13534
Sri Lanka,22.272558
Sudan,23.26941
Suriname,7.6903863
Sweden,33.033558
Switzerland,33.961178
Syria,16.751198
Tajikistan,37.384438
Tanzania,26.954252
Thailand,17.556955
Slovenia,33.611053
Trinidad and Tobago,8.725236
Tunisia,23.80976
Turkey,34.409325
Turkmenistan,11.838607
Uganda,9.21946
Ukraine,37.84721
United Arab Emirates,32.911457
United Kingdom,32.02758
United States of America,3.16813
Uruguay,27.832626
Uzbekistan,37.308174
Venezuela,14.419073
Vietnam,21.508358
Yemen,25.299139
Zambia,3.86916
Zimbabwe,6.1127963
