country,pred_area
Afghanistan,7.218424
Australia,13.552385
Bangladesh,12.122791
Bhutan,7.66134
Brunei Darussalam,9.084253
Cambodia,5.7150207
China,12.569447
Fiji Islands,24.556513
India,18.488283
Indonesia,6.979675
Japan,8.124349
Kazakhstan,12.772925
Kiribati,22.78544
Kyrghyzstan,13.303403
Indonesia,11.007124
Thailand,16.893318
Malaysia,11.792788
Maldives,7.176245
Marshall Islands,6.8990793
Micronesia,3.2793822
Russia,9.935409
Mongolia,15.403963
Myanmar,13.791085
Nepal,12.68759
New Zealand,11.698784
North Korea,10.222558
Pakistan,8.4763975
Palau,7.617512
Papua New Guinea,17.111279
Philippines,32.74793
Samoa,7.976455
Singapore,16.569069
Solomon Islands,22.80251
South Korea,11.482525
Sri Lanka,19.205372
Tajikistan,6.671218
Thailand,14.377993
Timor-Leste,14.271354
Tonga,10.317198
Turkmenistan,6.5769453
Tuvalu,5.622308
Uzbekistan,10.057611
Vanuatu,6.8597336
Vietnam,9.80513
Afghanistan,4.221369
Albania,7.66134
Algeria,1.8826667
Andorra,8.504173
Angola,20.482143
Antigua and Barbuda,20.01756
Argentina,6.911233
Armenia,7.305826
Austria,12.772925
Azerbaijan,12.229564
Bahamas,27.439878
Bahrain,19.525082
Barbados,6.8990793
Belarus,8.504173
Belgium,10.222558
Belize,20.01756
Benin,9.035844
Bolivia,5.053268
Bosnia and Herzegovina,7.66134
Botswana,0.21427332
Brazil,3.375024
Bulgaria,7.66134
Burkina Faso,8.9072695
Burundi,10.361028
Madagascar,18.963753
Cape Verde,25.608332
Cameroon,1.0994836
Canada,12.772925
Central African Republic,7.9001346
Chad,6.8735776
Chile,7.372492
Bulgaria,12.038551
Comoros,5.2157526
Congo,5.504347
Costa Rica,4.5752873
Croatia,12.038551
Cuba,24.448832
Cyprus,9.636366
Czech Republic,18.048857
Democratic Republic of Congo,5.504347
Denmark,8.504173
Djibouti,21.29433
Dominica,9.54975
Dominican Republic,6.0602317
Ecuador,7.5099344
Egypt,5.3294225
El Salvador,5.8387985
Equatorial Guinea,15.102334
Eritrea,5.31017
Estonia,12.772925
Swaziland,9.303271
Ethiopia,6.2388864
Finland,8.504173
France,10.182702
Gabon,14.569335
Gambia,8.857984
Georgia,3.1698315
Germany,10.590425
Ghana,28.988445
Greece,15.836505
Grenada,22.80251
Guatemala,4.817696
Guinea,9.035844
Guinea-Bissau,5.666595
Guyana,9.443595
Haiti,4.122567
Vatican City,17.694143
Honduras,1.8066759
Hungary,12.038551
Iceland,12.924382
Iran,4.4225283
Iraq,2.834423
Ireland,9.176866
Israel,4.156673
Italy,17.694143
Jamaica,6.0602317
Jordan,12.800729
Kenya,5.587279
Kuwait,7.950202
Latvia,12.772925
Lebanon,12.836454
Lesotho,7.361287
Liberia,7.7374535
Liechtenstein,3.4650033
Lithuania,12.772925
Luxembourg,8.203379
Madagascar,21.771103
Malawi,7.1041465
Mali,8.739614
Malta,5.7172794
Mauritania,1.7156366
Mauritius,25.37747
Mexico,9.044626
Monaco,9.113356
Montenegro,8.767212
Morocco,17.911552
Mozambique,15.621327
Namibia,47.742756
Turkey,6.0262165
Netherlands,10.222558
Nicaragua,4.122567
Niger,8.739614
Nigeria,5.7386894
Macedonia,11.576797
Norway,8.975458
Oman,11.134758
Bolivia,14.315571
Panama,3.7822974
Paraguay,5.1231885
Peru,11.518271
Poland,12.772925
Portugal,11.973818
Qatar,38.666424
Romania,7.00071
Russia,8.9855385
Rwanda,23.851078
Saint Kitts and Nevis,5.627892
Saint Lucia,9.66882
Saint Vincent and the Grenadines,15.351365
San Marino,8.203379
Belgium,10.222558
Saudi Arabia,0.78870404
Senegal,30.746681
Serbia,12.772925
Seychelles Islands,11.912729
Sierra Leone,14.365893
Slovakia,18.048857
Slovenia,12.038551
Somalia,23.539944
South Africa,5.1574464
Sudan,10.873403
Spain,17.694143
Sudan,10.881743
Suriname,6.979675
Sweden,8.504173
Switzerland,3.3925903
Syria,5.367442
Tanzania,8.659667
Bulgaria,10.369176
Trinidad and Tobago,9.76463
Tunisia,10.934153
Turkey,6.4378963
Uganda,17.143845
Ukraine,7.463329
United Arab Emirates,8.73561
United Kingdom,13.382108
United States of America,6.794603
Uruguay,14.694092
Venezuela,5.2914433
Yemen,2.4226952
Zambia,6.5361557
Zimbabwe,3.6771824
