country,pred_area
Australia,0.511226
Brunei Darussalam,3.5928447
Cambodia,17.803753
China,12.74602
Fiji Islands,5.1181917
Indonesia,12.561538
Japan,16.041208
Kiribati,9.976801
Indonesia,10.902681
Thailand,5.4293513
Malaysia,11.273308
Marshall Islands,9.98517
Micronesia,5.074113
Mongolia,2.6687157
Myanmar,13.111308
New Zealand,-1.7363777
North Korea,10.678092
Palau,3.6606698
Papua New Guinea,3.3731904
Philippines,16.966896
Samoa,5.0974226
Singapore,12.561538
Solomon Islands,12.629363
South Korea,25.211172
Thailand,8.515765
Timor-Leste,4.6362453
Tonga,3.2188687
Tuvalu,5.1181917
Vanuatu,6.3807645
Vietnam,-1.836317
Afghanistan,2.901825
Albania,1.632326
Algeria,1.5182743
Andorra,8.296769
Angola,13.158365
Antigua and Barbuda,8.515765
Argentina,15.637703
Armenia,3.8310525
Austria,2.680341
Azerbaijan,7.728844
Bahamas,4.11807
Bahrain,11.301287
Bangladesh,3.5338979
Barbados,2.296526
Belarus,6.7891545
Belgium,5.6944666
Belize,13.918183
Benin,13.05523
Bhutan,2.3234394
Bolivia,0.15249236
Bosnia and Herzegovina,2.6687157
Botswana,0.12616275
Brazil,10.755228
Bulgaria,2.4747746
Burkina Faso,1.9698025
Burundi,2.363673
Madagascar,12.326734
Cape Verde,2.7774687
Cameroon,10.162217
Canada,6.8569794
Central African Republic,12.545056
Chad,13.091781
Chile,10.683398
Hungary,3.5059164
Comoros,11.355659
Congo,8.515765
Costa Rica,6.2880545
Croatia,3.0894682
Cuba,43.560204
Cyprus,7.3593926
Czech Republic,7.4098983
Democratic Republic of Congo,8.515765
Denmark,7.0547767
Djibouti,13.303119
Dominica,1.9827467
Dominican Republic,0.39573628
Ecuador,-2.1262493
Egypt,2.6507502
El Salvador,5.014052
Equatorial Guinea,9.781729
Eritrea,2.9834158
Estonia,5.9062033
Swaziland,2.1100707
Ethiopia,2.7037816
Finland,5.9062033
France,3.2769296
Gabon,10.841121
Gambia,10.683398
Georgia,7.5176716
Germany,5.0466366
Ghana,9.371715
Greece,2.4124842
Grenada,8.435143
Guatemala,-2.9670804
Guinea,9.371715
Guinea-Bissau,17.303305
Guyana,8.992156
Haiti,12.22678
Vatican City,8.185048
Honduras,43.560204
Hungary,4.187954
Iceland,6.7891545
India,3.7787547
Iran,5.9062033
Iraq,3.204291
Ireland,4.979092
Israel,4.4871116
Italy,8.185048
Jamaica,3.9347076
Jordan,7.6610193
Kazakhstan,6.7891545
Kenya,4.197717
Kuwait,0.8472011
Kyrghyzstan,5.581452
Latvia,6.7891545
Lebanon,16.041208
Lesotho,8.339474
Liberia,11.514874
Liechtenstein,1.9411021
Lithuania,6.7891545
Luxembourg,6.8419757
Madagascar,14.610997
Malawi,7.2085996
Maldives,10.658927
Mali,10.787035
Malta,14.049582
Mauritania,1.13863
Mauritius,5.8747783
Mexico,12.861576
Iran,4.073838
Monaco,6.4022975
Montenegro,0.42106855
Morocco,0.75393575
Mozambique,13.268143
Namibia,8.48126
Turkey,6.550333
Nepal,6.5404406
Netherlands,7.6610193
Nicaragua,1.8274267
Niger,2.0720189
Nigeria,18.210848
Macedonia,0.1273715
Norway,9.020959
Oman,10.012196
Pakistan,14.251474
Bolivia,9.331667
Panama,2.716102
Paraguay,20.8105
Peru,17.45894
Poland,5.224337
Portugal,-4.5325723
Qatar,16.531029
Romania,2.8353612
Russia,6.8569794
Rwanda,-0.18932866
Saint Kitts and Nevis,8.81943
Saint Lucia,5.3743315
Saint Vincent and the Grenadines,9.371715
San Marino,7.493931
Belgium,4.9457045
Saudi Arabia,9.269048
Senegal,9.396329
Serbia,6.835201
Seychelles Islands,2.296526
Sierra Leone,19.344109
Slovakia,2.680341
Slovenia,1.632326
Somalia,16.203564
South Africa,4.832647
Sudan,5.7291117
Spain,14.161082
Sri Lanka,14.664187
Sudan,7.7684073
Suriname,1.4913194
Sweden,6.655119
Switzerland,1.9411021
Syria,6.391146
Tajikistan,5.581452
Tanzania,6.666116
Bulgaria,6.147776
Trinidad and Tobago,10.043662
Tunisia,6.2868204
Turkey,24.831446
Turkmenistan,7.0547767
Uganda,14.212131
Ukraine,8.296769
United Arab Emirates,10.012196
United Kingdom,9.550518
United States of America,2.7201974
Uruguay,15.714466
Uzbekistan,4.073838
Venezuela,4.822047
Yemen,-2.357159
Zambia,6.2172866
Zimbabwe,0.6959931
