country,pred_area
Australia,1.5154066
Brunei Darussalam,2.6606836
Cambodia,2.263717
China,0.23724997
Fiji Islands,-4.537372
Indonesia,7.7349625
Japan,6.9523153
Kiribati,-0.8270538
Indonesia,0.8812128
Thailand,-2.1578596
Malaysia,-2.5839546
Marshall Islands,-0.74643135
Micronesia,-2.4806223
Mongolia,0.98542506
New Zealand,9.253031
North Korea,4.868655
Palau,-0.592288
Papua New Guinea,-2.5839546
Philippines,4.733478
Samoa,4.665653
Singapore,7.3175793
Solomon Islands,7.233781
South Korea,7.3036475
Thailand,4.477825
Timor-Leste,4.088906
Tonga,0.37755495
Tuvalu,-0.6076067
Vanuatu,-1.3043759
Vietnam,5.578787
Afghanistan,7.736638
Albania,5.666903
Algeria,7.335076
Andorra,-2.1582658
Angola,5.5372148
Antigua and Barbuda,1.9171189
Argentina,-2.0609796
Armenia,9.087399
Austria,9.409548
Azerbaijan,5.6328797
Bahamas,6.9475884
Bahrain,7.86397
Bangladesh,1.3215626
Barbados,0.8276627
Belarus,6.883938
Belgium,5.7206707
Belize,5.244675
Benin,4.023309
Bhutan,0.98542506
Bolivia,-0.8620424
Bosnia and Herzegovina,-3.139128
Botswana,20.200443
Brazil,15.19263
Bulgaria,-2.7136838
Burkina Faso,20.200443
Burundi,-2.7333436
Madagascar,2.7648642
Cape Verde,6.487276
Cameroon,-2.4826963
Canada,7.965674
Central African Republic,-0.10328534
Chad,20.200443
Chile,6.1495743
Hungary,12.422013
Comoros,-0.30904156
Congo,4.0348616
Costa Rica,2.5093393
Croatia,16.716072
Cuba,6.4005537
Cyprus,5.6861835
Czech Republic,5.669016
Democratic Republic of Congo,8.298048
Denmark,6.7286634
Djibouti,1.0649275
Dominica,-0.5023684
Dominican Republic,0.5847558
Ecuador,6.5789347
Egypt,7.7851653
El Salvador,0.4887777
Equatorial Guinea,-2.4812622
Eritrea,-1.3294271
Estonia,16.250553
Senegal,20.200443
Ethiopia,6.072292
Finland,16.102161
France,-1.6082051
Gabon,7.762897
Gambia,2.0773222
Georgia,7.4251084
Germany,6.306058
Ghana,0.26403594
Greece,5.270828
Grenada,1.9208758
Guatemala,8.9916725
Guinea,0.23021294
Guinea-Bissau,20.200443
Guyana,-0.6601131
Haiti,1.4611502
Vatican City,4.9627094
Honduras,2.1259835
Hungary,6.315032
Iceland,2.8652985
India,0.71894664
Iran,12.235386
Iraq,4.868296
Ireland,6.266472
Israel,5.7642374
Italy,4.9627094
Jamaica,-1.0998182
Jordan,5.270828
Kazakhstan,10.958057
Kenya,30.994202
Kuwait,6.758063
Kyrghyzstan,7.780513
Latvia,17.903528
Lebanon,2.7400973
Lesotho,8.521801
Liberia,8.623604
Liechtenstein,7.1691904
Lithuania,6.6634398
Luxembourg,6.341751
Madagascar,5.406687
Malawi,2.0960357
Maldives,-4.865387
Mali,21.642736
Malta,5.6861835
Mauritania,2.0128942
Mauritius,1.6218197
Mexico,2.8972802
Iran,6.4146657
Monaco,8.406599
Montenegro,0.02363706
Morocco,0.22032768
Mozambique,2.7178972
Myanmar,1.2133181
Namibia,10.928326
Turkey,8.36274
Nepal,0.97216326
Netherlands,6.092672
Nicaragua,3.9898975
Niger,20.200443
Nigeria,17.445211
Macedonia,2.20106
Norway,3.471446
Oman,-3.891109
Pakistan,3.9733832
Bolivia,-7.670248
Panama,1.3674561
Paraguay,15.433908
Peru,2.1627176
Poland,6.2981257
Portugal,6.2680674
Qatar,42.81095
Romania,10.358168
Russia,-0.539692
Rwanda,1.477403
Saint Kitts and Nevis,1.0649275
Saint Lucia,0.8276627
Saint Vincent and the Grenadines,2.9765093
San Marino,12.422013
Belgium,4.3722277
Saudi Arabia,8.128638
Senegal,1.8275453
Serbia,0.97648257
Seychelles Islands,2.4671588
Sierra Leone,0.23021294
Slovakia,8.358508
Slovenia,-3.329103
Somalia,2.263717
South Africa,1.4221892
Sudan,20.200443
Spain,2.0331838
Sri Lanka,5.3447833
Sudan,10.928326
Suriname,-1.9177611
Sweden,7.3964963
Switzerland,6.4587417
Syria,5.507936
Tajikistan,7.1691904
Tanzania,12.490452
Slovenia,8.296505
Trinidad and Tobago,-0.15497196
Tunisia,6.63008
Turkey,2.3849118
Turkmenistan,9.087399
Uganda,2.1834862
Ukraine,6.970402
United Arab Emirates,1.547432
United Kingdom,6.0035954
United States of America,8.93639
Uruguay,36.819973
Uzbekistan,3.5849667
Venezuela,-2.77371
Yemen,7.574538
Zambia,4.3218765
Zimbabwe,5.1464047
