country,pred_area
Australia,13.034882
Fiji Islands,-4.6184497
Japan,7.483492
Kiribati,10.198305
Marshall Islands,9.70385
Micronesia,12.27842
New Zealand,6.7562485
North Korea,0.4403676
Palau,12.27842
Papua New Guinea,15.409656
Samoa,17.161606
Solomon Islands,12.421846
South Korea,6.7478476
Timor-Leste,6.2614894
Tonga,13.8654175
Tuvalu,9.327804
Vanuatu,15.007112
Afghanistan,3.5646386
Albania,11.380582
Algeria,17.557379
Andorra,15.797057
Angola,11.2882805
Antigua and Barbuda,9.70385
Argentina,11.910831
Armenia,6.429459
Austria,7.04268
Azerbaijan,4.387354
Bahamas,18.26473
Bahrain,20.920267
Bangladesh,14.847316
Barbados,12.074979
Belarus,4.455232
Belgium,8.47835
Belize,12.074979
Benin,20.862816
Bhutan,3.3077662
Bolivia,9.117688
Bosnia and Herzegovina,7.8103595
Botswana,15.018957
Brazil,-3.8062305
Brunei Darussalam,17.293438
Bulgaria,59.1799
Burkina Faso,14.003235
Burundi,6.1744986
Madagascar,22.070152
Cape Verde,11.112791
Cambodia,19.236118
Cameroon,13.902857
Canada,4.372453
Central African Republic,13.991184
Chad,18.395687
Chile,8.518184
China,13.275962
Bulgaria,11.029426
Comoros,17.310947
Congo,17.50911
Costa Rica,17.179388
Croatia,-0.02035857
Cuba,17.707634
Cyprus,14.170717
Czech Republic,7.04268
Democratic Republic of Congo,12.457891
Denmark,5.809641
Djibouti,13.403639
Dominica,10.763241
Dominican Republic,13.320078
Ecuador,2.3501637
Egypt,2.6558976
El Salvador,22.627506
Equatorial Guinea,17.906088
Eritrea,51.448456
Estonia,17.20967
Swaziland,12.30787
Ethiopia,85.532486
Finland,13.160352
France,19.483404
Gabon,12.68337
Gambia,16.938887
Georgia,4.539984
Germany,10.050326
Ghana,19.236118
Greece,86.70246
Grenada,19.236118
Guatemala,11.910831
Guinea,13.638741
Guinea-Bissau,26.3431
Guyana,13.638741
Haiti,9.059509
Vatican City,14.696759
Honduras,15.643168
Hungary,12.2958145
Iceland,25.01628
India,5.0791626
Indonesia,9.850115
Iran,21.696133
Iraq,18.395687
Ireland,4.387354
Israel,11.887689
Italy,14.696759
Jamaica,19.236118
Jordan,6.0171022
Kazakhstan,4.774841
Kenya,2.7286496
Kuwait,11.819504
Kyrghyzstan,4.0144715
Indonesia,5.400923
Latvia,3.3077662
Lebanon,14.88025
Lesotho,3.3143792
Liberia,24.871584
Thailand,13.040736
Liechtenstein,105.301254
Lithuania,5.2161913
Luxembourg,58.175808
Madagascar,7.7956595
Malawi,17.665724
Malaysia,3.4813075
Maldives,14.241079
Mali,17.557379
Malta,95.243706
Mauritania,54.473938
Mauritius,12.421846
Mexico,4.0603814
Iran,9.140253
Monaco,11.98064
Mongolia,16.924707
Montenegro,5.260647
Morocco,10.749125
Mozambique,8.308719
Myanmar,15.562256
Namibia,7.771516
Turkey,18.931004
Nepal,18.596766
Netherlands,95.94399
Nicaragua,14.003235
Niger,18.419252
Nigeria,21.222343
Macedonia,13.367572
Norway,15.702739
Oman,13.1392765
Pakistan,19.549051
Bolivia,23.67442
Panama,11.860443
Paraguay,12.562939
Peru,6.358119
Philippines,11.375029
Poland,1.3395891
Portugal,9.995692
Qatar,17.687517
Romania,18.734255
Russia,8.257839
Rwanda,83.95374
Saint Kitts and Nevis,10.763241
Saint Lucia,10.763241
Saint Vincent and the Grenadines,12.224852
San Marino,3.5400846
Belgium,11.020802
Saudi Arabia,4.6973834
Senegal,10.540311
Serbia,8.13406
Seychelles Islands,9.608513
Sierra Leone,13.280819
Singapore,10.9699
Slovakia,7.041616
Slovenia,11.020802
Somalia,14.532072
South Africa,85.40728
Sudan,18.395687
Spain,84.57662
Sri Lanka,7.639289
Sudan,18.395687
Suriname,21.311375
Sweden,15.735866
Switzerland,8.47835
Syria,18.91318
Tajikistan,11.941585
Tanzania,50.793633
Thailand,14.532072
Bulgaria,8.244959
Trinidad and Tobago,11.860443
Tunisia,17.441227
Turkey,26.555115
Turkmenistan,59.471924
Uganda,-1.6556451
Ukraine,5.030888
United Arab Emirates,12.983295
United Kingdom,12.991886
United States of America,6.2627378
Uruguay,15.258821
Uzbekistan,14.238756
Venezuela,5.3743067
Vietnam,13.8654175
Yemen,11.682361
Zambia,19.742401
Zimbabwe,7.2387075
