country,pred_area
Afghanistan,6.950834
Australia,3.8052282
Bangladesh,8.525126
Bhutan,6.284522
Brunei Darussalam,17.418804
Cambodia,5.823122
China,4.232855
Fiji Islands,6.1070323
India,11.343743
Indonesia,3.8720572
Japan,4.6516724
Kazakhstan,6.283082
Kiribati,5.4293694
Kyrghyzstan,7.413715
Indonesia,16.563503
Thailand,5.36776
Malaysia,14.027918
Maldives,13.216691
Marshall Islands,5.823122
Micronesia,5.823122
Russia,6.8177404
Mongolia,8.106095
Myanmar,13.408882
Nepal,5.696566
New Zealand,-0.20113477
North Korea,5.142829
Pakistan,1.4436709
Palau,9.446445
Papua New Guinea,13.204432
Philippines,11.376608
Samoa,7.540354
Singapore,14.063211
Solomon Islands,8.162741
South Korea,9.019217
Sri Lanka,6.127801
Tajikistan,5.3178043
Thailand,10.708681
Timor-Leste,14.844529
Tonga,21.063002
Turkmenistan,4.7937956
Tuvalu,6.67907
Uzbekistan,5.7584066
Vanuatu,7.3070107
Vietnam,3.68222
Albania,3.9389575
Algeria,5.696566
Andorra,4.799801
Angola,23.740175
Antigua and Barbuda,11.623989
Argentina,15.419747
Armenia,8.3253565
Austria,9.067662
Azerbaijan,6.5534143
Bahamas,8.513415
Bahrain,49.146713
Barbados,4.868401
Belarus,9.067662
Belgium,8.4983425
Belize,8.162741
Benin,5.61968
Bolivia,5.8298507
Bosnia and Herzegovina,6.8855653
Botswana,-1.3278806
Brazil,20.117653
Bulgaria,7.5600495
Burkina Faso,3.991214
Burundi,10.630847
Madagascar,14.988834
Cape Verde,16.555563
Cameroon,3.2205558
Canada,9.067662
Central African Republic,15.634903
Chad,-0.81803095
Chile,4.4268765
Bulgaria,7.5600495
Comoros,13.169785
Congo,5.483616
Costa Rica,9.859821
Croatia,4.570909
Cuba,5.338939
Cyprus,4.966256
Czech Republic,8.257531
Democratic Republic of Congo,5.483616
Denmark,6.8177404
Djibouti,20.44214
Dominica,4.826002
Dominican Republic,10.519434
Ecuador,-0.07709618
Egypt,2.009777
El Salvador,5.4034376
Equatorial Guinea,7.2862415
Eritrea,4.148405
Estonia,9.067662
Swaziland,1.012942
Ethiopia,5.9848766
Finland,9.067662
France,3.354007
Gabon,8.183508
Gambia,1.8638058
Georgia,4.7259707
Germany,6.8177404
Ghana,12.702993
Greece,5.631635
Grenada,8.423586
Guatemala,39.716953
Guinea,10.777376
Guinea-Bissau,10.503789
Guyana,12.176274
Haiti,11.026541
Vatican City,2.8359344
Honduras,13.410044
Hungary,18.155022
Iceland,10.424697
Iran,6.287556
Iraq,5.3568635
Ireland,8.75066
Israel,1.5908142
Italy,2.8359344
Jamaica,11.026541
Jordan,3.218614
Kenya,6.9225464
Kuwait,0.34927666
Latvia,9.067662
Lebanon,1.1542287
Lesotho,4.966256
Liberia,21.050932
Liechtenstein,3.9013844
Lithuania,10.282842
Luxembourg,9.067662
Madagascar,-0.12597908
Malawi,14.988834
Mali,12.854995
Malta,12.258231
Mauritania,0.0718754
Mauritius,17.418804
Mexico,2.586963
Monaco,14.786182
Montenegro,9.817873
Morocco,0.074922375
Mozambique,5.050458
Namibia,0.7341269
Turkey,2.8030589
Netherlands,8.999837
Nicaragua,4.4756875
Niger,5.06994
Nigeria,2.770326
Macedonia,7.34977
Norway,7.230584
Oman,7.0365014
Bolivia,19.703503
Panama,4.129583
Paraguay,9.273408
Peru,17.487766
Poland,9.067662
Portugal,3.1305797
Qatar,22.767279
Romania,4.844733
Russia,7.6278744
Rwanda,5.6155243
Saint Kitts and Nevis,13.093871
Saint Lucia,7.5936713
Saint Vincent and the Grenadines,7.737422
San Marino,8.257531
Belgium,8.853464
Saudi Arabia,9.124677
Senegal,15.325448
Serbia,7.5600495
Seychelles Islands,8.162741
Sierra Leone,5.61968
Slovakia,8.853464
Slovenia,8.257531
Somalia,19.515703
South Africa,8.311115
Sudan,7.473382
Spain,3.4281275
Sudan,15.786314
Suriname,6.310669
Sweden,18.085878
Switzerland,29.132105
Syria,3.8052282
Tanzania,5.1182823
Bulgaria,8.999837
Trinidad and Tobago,6.995938
Tunisia,3.8195488
Turkey,3.3097475
Uganda,18.540392
Ukraine,7.5600495
United Arab Emirates,18.06245
United Kingdom,3.3260386
United States of America,4.2673697
Uruguay,11.511013
Venezuela,6.6871586
Yemen,0.89874667
Zambia,6.4164696
Zimbabwe,7.5140553
