country,pred_area
Australia,-1.8042027
Brunei Darussalam,3.3524218
Cambodia,9.98517
China,7.464753
Fiji Islands,6.6918373
Indonesia,3.0564353
Japan,2.7201974
Kiribati,1.0452658
Indonesia,2.6131485
Thailand,0.36554906
Malaysia,3.3524218
Marshall Islands,1.8901211
Micronesia,5.7057667
Mongolia,5.1936865
Myanmar,14.060764
New Zealand,6.5146184
North Korea,6.7891545
Palau,5.8747783
Papua New Guinea,17.961416
Philippines,15.321084
Samoa,6.671068
Singapore,18.364145
Solomon Islands,3.3524218
South Korea,15.776705
Thailand,11.995839
Timor-Leste,6.738893
Tonga,4.5684204
Tuvalu,9.131844
Vanuatu,7.3903837
Vietnam,13.200317
Afghanistan,3.8235083
Albania,3.1932104
Algeria,7.0953584
Andorra,10.251972
Angola,4.822047
Antigua and Barbuda,9.022872
Argentina,8.116073
Armenia,1.4464399
Austria,7.387361
Azerbaijan,6.221232
Bahamas,5.7175083
Bahrain,8.3552885
Bangladesh,1.337715
Barbados,8.81943
Belarus,8.228944
Belgium,7.4565253
Belize,4.4147344
Benin,9.858036
Bhutan,2.3234394
Bolivia,5.1220703
Bosnia and Herzegovina,8.96556
Botswana,-0.8091189
Brazil,16.62468
Bulgaria,13.408657
Burkina Faso,20.059145
Burundi,3.7942917
Madagascar,21.570185
Cape Verde,-3.7036803
Cameroon,9.878821
Canada,8.228944
Central African Republic,20.020948
Chad,20.059145
Chile,2.5414286
Bulgaria,5.819517
Comoros,22.405027
Congo,11.361901
Costa Rica,39.925938
Croatia,3.6005673
Cuba,6.0684066
Cyprus,8.749509
Czech Republic,9.755279
Democratic Republic of Congo,11.361901
Denmark,2.7201974
Djibouti,21.51612
Dominica,1.065329
Dominican Republic,3.0787585
Ecuador,-3.0188508
Egypt,-3.1794567
El Salvador,10.43775
Equatorial Guinea,1.8222958
Eritrea,1.509552
Estonia,8.228944
Senegal,20.059145
Ethiopia,7.7659574
Finland,8.228944
France,2.680341
Gabon,3.9007869
Gambia,3.501617
Georgia,6.949749
Germany,7.361538
Ghana,3.9347076
Greece,10.203263
Grenada,5.3743315
Guatemala,2.023623
Guinea,14.893333
Guinea-Bissau,19.48223
Guyana,8.992156
Haiti,6.6686163
Vatican City,6.2868204
Honduras,38.20242
Hungary,6.3228326
Iceland,8.296769
India,-6.0338078
Iran,5.4832616
Iraq,1.6117582
Ireland,7.0712066
Israel,2.0117736
Italy,6.2868204
Jamaica,-0.65184176
Jordan,8.896317
Kazakhstan,7.4098983
Kenya,2.3653607
Kuwait,-0.44131926
Kyrghyzstan,2.8580797
Latvia,8.228944
Lebanon,-0.4734561
Lesotho,3.6286077
Liberia,15.649931
Liechtenstein,1.9411021
Lithuania,8.228944
Luxembourg,7.3249717
Madagascar,5.9075065
Malawi,10.519302
Maldives,10.658927
Mali,20.059145
Malta,4.2248693
Mauritania,2.2408323
Mauritius,4.5684204
Mexico,-3.3599863
Iran,4.464501
Monaco,2.126813
Montenegro,9.71423
Morocco,-2.7373621
Mozambique,9.022872
Myanmar,10.424776
Namibia,5.33597
Turkey,4.8297014
Nepal,1.4048136
Netherlands,1.6329089
Nicaragua,2.0548728
Niger,20.059145
Nigeria,13.2189045
Macedonia,5.7791786
Norway,6.7891545
Oman,16.235096
Pakistan,8.729333
Bolivia,0.7740139
Panama,15.358937
Paraguay,16.583868
Peru,10.593577
Poland,3.4753954
Portugal,2.6961546
Qatar,4.8285847
Romania,5.9578304
Russia,6.8569794
Rwanda,5.004527
Saint Kitts and Nevis,8.81943
Saint Lucia,4.708992
Saint Vincent and the Grenadines,6.499946
San Marino,2.6507502
Belgium,8.964142
Saudi Arabia,4.601481
Senegal,6.6373587
Serbia,7.4782023
Seychelles Islands,3.355917
Sierra Leone,18.071035
Slovakia,9.755279
Slovenia,3.4753954
Somalia,9.781729
South Africa,13.979634
Sudan,1.9698025
Spain,5.8539257
Sri Lanka,1.3471727
Sudan,19.955507
Suriname,10.448711
Sweden,6.7891545
Switzerland,2.5487878
Syria,6.913603
Tajikistan,3.8310525
Tanzania,12.15027
Bulgaria,7.0712066
Trinidad and Tobago,2.716102
Tunisia,0.19592392
Turkey,2.9488466
Turkmenistan,4.126661
Uganda,15.828191
Ukraine,5.754228
United Arab Emirates,9.21356
United Kingdom,6.7891545
United States of America,3.8310525
Uruguay,22.707207
Uzbekistan,2.8353612
Venezuela,7.445992
Yemen,7.5900517
Zambia,6.379934
Zimbabwe,-0.096347556
