country,pred_area
Australia,4.9251413
Brunei Darussalam,13.55991
China,0.8577036
Fiji Islands,1.5169408
Japan,3.9995046
Kiribati,12.178595
Malaysia,6.0478306
Marshall Islands,-1.310886
Micronesia,0.18404254
Mongolia,3.6596003
New Zealand,-0.41515005
North Korea,5.9422765
Palau,-0.85140383
Papua New Guinea,10.094091
Philippines,13.372889
Samoa,1.8268256
Singapore,5.3250127
Solomon Islands,9.394141
South Korea,2.3483577
Timor-Leste,3.000231
Tonga,4.2116547
Tuvalu,-0.5964579
Vanuatu,1.8268256
Afghanistan,3.1004863
Albania,-1.4281366
Algeria,15.046884
Andorra,7.1429877
Angola,11.368803
Antigua and Barbuda,5.0965047
Argentina,4.5297894
Armenia,12.954904
Austria,9.410422
Azerbaijan,3.4574597
Bahamas,3.5541368
Bahrain,3.6798484
Bangladesh,10.324707
Barbados,2.2717638
Belarus,5.449573
Belgium,0.74233013
Belize,4.5297894
Benin,1.8410685
Bhutan,0.24905492
Bolivia,4.288964
Bosnia and Herzegovina,2.4710724
Botswana,31.131666
Brazil,0.9596795
Bulgaria,15.298041
Burkina Faso,21.075691
Burundi,-0.8750192
Madagascar,-0.7295632
Cape Verde,4.9090195
Cambodia,1.8410685
Cameroon,2.2717638
Canada,10.506413
Central African Republic,9.550142
Chad,23.918541
Chile,7.4656887
Bulgaria,1.8249907
Comoros,0.6480797
Congo,1.9708681
Costa Rica,-1.1883526
Croatia,5.6429377
Cuba,9.846094
Cyprus,3.387234
Czech Republic,3.2787237
Democratic Republic of Congo,1.8410685
Denmark,0.11601107
Djibouti,2.2717638
Dominica,-3.592819
Dominican Republic,0.9596795
Ecuador,7.381417
Egypt,0.9500304
El Salvador,2.1813345
Equatorial Guinea,4.9566293
Eritrea,5.0550814
Estonia,7.642397
Swaziland,1.2020624
Ethiopia,-0.04656109
Finland,6.5207534
France,8.8796835
Gabon,2.9896193
Gambia,-0.12024077
Georgia,9.474752
Germany,13.187833
Ghana,11.368803
Greece,6.329853
Grenada,3.49791
Guatemala,2.1831224
Guinea,3.49791
Guinea-Bissau,19.002785
Guyana,9.4855795
Haiti,-1.5783297
Vatican City,4.6316795
Honduras,1.0358107
Hungary,7.0322504
Iceland,6.736703
India,6.7307777
Indonesia,-0.5158356
Iran,6.3724356
Iraq,2.5146081
Ireland,6.6957116
Israel,2.2535112
Italy,4.6316795
Jamaica,3.49791
Jordan,4.145553
Kazakhstan,18.829268
Kenya,7.3016324
Kuwait,-1.2328858
Kyrghyzstan,6.369289
Indonesia,6.095536
Latvia,0.6269374
Lebanon,4.319731
Lesotho,8.631047
Liberia,10.364259
Thailand,5.571681
Liechtenstein,5.366794
Lithuania,3.7417192
Luxembourg,5.366794
Madagascar,4.375208
Malawi,0.3386274
Maldives,8.124299
Mali,25.713753
Malta,0.9928178
Mauritania,10.990275
Mauritius,-0.07713022
Mexico,-4.737576
Iran,2.273157
Monaco,4.439645
Montenegro,1.4436291
Morocco,0.8924727
Mozambique,-1.7537252
Myanmar,4.6042104
Namibia,8.196836
Turkey,5.830086
Nepal,2.736394
Netherlands,0.74233013
Nicaragua,1.1567534
Niger,23.918541
Nigeria,18.664751
Macedonia,2.0662208
Norway,3.7417192
Oman,2.352386
Pakistan,8.865404
Bolivia,2.708294
Panama,1.9708681
Paraguay,8.456247
Peru,9.375918
Poland,3.6403902
Portugal,11.598222
Qatar,4.5297894
Romania,1.9448979
Russia,4.2514257
Rwanda,6.226852
Saint Kitts and Nevis,2.2717638
Saint Lucia,1.1567534
Saint Vincent and the Grenadines,1.8410685
San Marino,6.7013326
Switzerland,6.409316
Saudi Arabia,-0.40090984
Senegal,9.846094
Serbia,0.67450505
Seychelles Islands,7.8156805
Sierra Leone,3.5355783
Slovakia,9.410422
Slovenia,11.829427
Somalia,4.2564273
South Africa,-0.40848032
Sudan,25.713753
Spain,9.928691
Sri Lanka,1.8475945
Sudan,23.918541
Suriname,16.17159
Sweden,6.5207534
Switzerland,4.084477
Syria,7.655902
Tajikistan,8.782361
Tanzania,2.1831224
Thailand,5.24439
Bulgaria,6.8457513
Trinidad and Tobago,-0.6971613
Tunisia,35.160946
Turkey,13.187433
Turkmenistan,8.643389
Uganda,11.3768635
Ukraine,6.0020113
United Arab Emirates,7.053576
United Kingdom,4.372394
United States of America,6.0020113
Uruguay,4.5505586
Uzbekistan,13.647991
Venezuela,3.49791
Vietnam,6.0048
Yemen,4.0378623
Zambia,5.74347
Zimbabwe,2.4708452
