country,pred_area
Afghanistan,3.691253
Armenia,23.60648
Australia,5.382771
Azerbaijan,7.2384143
Bangladesh,36.57055
Bhutan,7.5121694
Brunei Darussalam,1.773695
Cambodia,7.7003746
China,4.3946266
Fiji Islands,3.4580445
Georgia,10.173336
India,1.8161482
Indonesia,3.3902082
Iran,13.713449
Japan,16.665495
Kazakhstan,6.7931523
Kiribati,2.8287117
Kyrghyzstan,2.9712427
Indonesia,6.3661385
Thailand,5.5729613
Malaysia,1.7591707
Maldives,1.9119182
Marshall Islands,2.6184046
Mauritius,1.1219534
Micronesia,7.561802
Russia,5.761395
Mongolia,5.439204
Myanmar,13.44461
Nepal,6.028815
New Zealand,5.061787
North Korea,6.844164
Oman,17.096525
Pakistan,7.519994
Palau,3.1496608
Papua New Guinea,7.7211423
Philippines,9.4036455
Samoa,-0.44851792
Seychelles Islands,4.0228224
Singapore,7.7211423
Solomon Islands,2.6324286
South Korea,5.761395
Sri Lanka,2.5505795
Tajikistan,5.637905
Thailand,5.46341
Timor-Leste,11.544675
Tonga,1.5571629
Turkmenistan,5.914547
Tuvalu,0.88367546
United Arab Emirates,3.9084637
Uzbekistan,11.021451
Vanuatu,5.5222163
Vietnam,8.758672
