country,pred_area
Afghanistan,5.5418515
Albania,14.128694
Algeria,37.71204
Andorra,13.9717
Angola,18.130732
Armenia,22.046457
Australia,11.205786
Austria,4.037117
Azerbaijan,13.30061
Bahrain,53.403038
Bangladesh,49.74896
Belarus,-1.7429284
Belgium,4.7929482
Benin,33.993362
Bhutan,6.9329576
Bosnia and Herzegovina,5.0760393
Botswana,15.24587
Brunei Darussalam,32.63055
Bulgaria,2.6508338
Burundi,7.8324013
Madagascar,17.808657
Cambodia,35.430107
Cameroon,2.2769754
Central African Republic,17.918541
Chad,15.774878
China,30.266685
Bulgaria,4.739648
Comoros,20.374987
Congo,31.373629
Croatia,7.9814596
Cyprus,18.785547
Czech Republic,10.448741
Democratic Republic of Congo,32.884285
Denmark,6.642536
Djibouti,44.84189
Egypt,50.84656
Equatorial Guinea,14.588609
Eritrea,13.075221
Estonia,10.639434
Swaziland,3.5867882
Ethiopia,9.253747
Fiji Islands,43.49475
Finland,7.303053
France,15.433626
Gabon,10.179528
Georgia,24.545723
Germany,6.642536
Greece,23.820385
Vatican City,31.75655
Hungary,9.162758
India,44.158463
Indonesia,20.76579
Iran,58.625977
Iraq,62.120434
Ireland,8.014501
Israel,37.83545
Italy,31.75655
Japan,46.598457
Jordan,31.171434
Kazakhstan,9.07126
Kenya,-0.4120502
Kiribati,40.050514
Kuwait,72.384735
Kyrghyzstan,4.9889426
Indonesia,17.8644
Latvia,6.7883453
Lebanon,43.91546
Lesotho,3.3784795
Thailand,25.499104
Liechtenstein,4.3262887
Lithuania,6.17574
Luxembourg,9.162758
Madagascar,10.768291
Malawi,16.645302
Malaysia,31.844398
Maldives,39.388603
Malta,32.769638
Marshall Islands,41.44986
Mauritius,16.9696
Micronesia,53.813915
Russia,7.7108483
Monaco,11.097344
Mongolia,-1.2295796
Montenegro,15.658618
Morocco,16.87733
Mozambique,24.477898
Myanmar,45.572395
Namibia,6.578686
Turkey,16.9696
Nepal,12.750353
Netherlands,8.662115
New Zealand,6.2809563
Niger,32.698376
Nigeria,15.774878
North Korea,6.0050883
Macedonia,-0.32509375
Norway,10.700466
Oman,46.639725
Pakistan,49.37548
Palau,30.572578
Papua New Guinea,53.810776
Philippines,37.85706
Poland,1.7206004
Portugal,18.609453
Qatar,46.52288
Romania,20.508303
Russia,6.385292
Rwanda,15.606989
Samoa,46.598457
San Marino,17.332825
Belgium,0.8746524
Saudi Arabia,62.329067
Serbia,13.3906765
Seychelles Islands,41.280647
Singapore,45.615852
Slovakia,9.497573
Slovenia,1.6713088
Solomon Islands,46.16913
Somalia,59.937973
South Africa,8.3669615
South Korea,35.430107
Sudan,50.235836
Spain,25.732534
Sri Lanka,51.528847
Sudan,49.78114
Sweden,8.72994
Switzerland,4.3262887
Syria,43.765102
Tajikistan,20.435421
Tanzania,26.215107
Thailand,40.253952
Indonesia,26.728153
Bulgaria,6.535165
Tonga,36.581352
Tunisia,35.48021
Turkey,-3.1397796
Turkmenistan,10.205428
Tuvalu,40.55556
Uganda,19.44387
Ukraine,5.323347
United Arab Emirates,48.135384
United Kingdom,10.265352
Uzbekistan,13.639062
Vanuatu,43.49475
Vietnam,30.284407
Yemen,42.0555
Zambia,22.076881
Zimbabwe,9.403717
Antigua and Barbuda,44.63716
Argentina,13.587632
Bahamas,42.412987
Barbados,39.216717
Belize,46.455524
Bolivia,9.961022
Brazil,56.208595
Burkina Faso,25.499104
Cape Verde,52.69782
Canada,45.05617
Chile,2.9050374
Costa Rica,11.53006
Cuba,46.598457
Dominica,37.789234
Dominican Republic,46.72881
Ecuador,12.640543
El Salvador,31.844398
Gambia,25.499104
Ghana,30.572578
Grenada,41.227383
Guatemala,-3.1543038
Guinea,30.860968
Guinea-Bissau,41.280647
Guyana,44.158463
Haiti,34.4644
Honduras,41.15431
Iceland,7.6855693
Jamaica,46.455524
Liberia,25.499104
Mali,20.005716
Mauritania,46.949387
Mexico,14.439131
Nicaragua,45.05617
Bolivia,52.634983
Panama,42.769665
Paraguay,33.3065
Peru,63.579082
Saint Kitts and Nevis,43.955025
Saint Lucia,44.158463
Saint Vincent and the Grenadines,40.050514
Senegal,39.534008
Sierra Leone,41.163784
Suriname,43.955276
Trinidad and Tobago,25.516825
United States of America,47.530724
Uruguay,9.782713
Venezuela,43.935047
