country,pred_area
Australia,2.7733603
Brunei Darussalam,10.016895
China,-0.840938
Fiji Islands,-2.563186
Japan,8.703407
Kiribati,2.3865366
Malaysia,-0.40416488
Marshall Islands,-2.9605403
Micronesia,-2.9605403
Mongolia,-1.935103
New Zealand,1.6118689
North Korea,2.747902
Palau,-0.6601131
Papua New Guinea,-0.6601131
Philippines,-2.77371
Samoa,1.9710426
Singapore,10.016895
Solomon Islands,0.5949792
South Korea,-1.6312695
Timor-Leste,-0.6601131
Tonga,-0.6601131
Tuvalu,3.573846
Vanuatu,-0.8144348
Afghanistan,11.914575
Albania,7.430242
Algeria,-0.5888115
Andorra,-3.2279954
Angola,1.9170053
Antigua and Barbuda,2.5853682
Argentina,-0.48194706
Armenia,0.7447899
Austria,5.899339
Azerbaijan,2.893267
Bahamas,4.337188
Bahrain,5.1682277
Bangladesh,2.1288946
Barbados,-2.9771519
Belarus,4.9043484
Belgium,3.926163
Belize,-2.9771519
Benin,9.576378
Bhutan,7.2721376
Bolivia,2.6938186
Bosnia and Herzegovina,0.8779809
Botswana,18.589695
Brazil,-0.7132354
Bulgaria,13.190477
Burkina Faso,20.200443
Burundi,9.454708
Madagascar,1.1414874
Cape Verde,6.487276
Cambodia,-2.9771519
Cameroon,2.9666224
Canada,6.970402
Central African Republic,14.584367
Chad,20.200443
Chile,1.578624
Bulgaria,4.0697803
Comoros,-4.638703
Congo,18.49515
Costa Rica,0.7450332
Croatia,2.7157032
Cuba,0.8822505
Cyprus,0.9944688
Czech Republic,12.373453
Democratic Republic of Congo,18.519684
Denmark,4.3722277
Djibouti,8.425159
Dominica,-2.9771519
Dominican Republic,3.644759
Ecuador,10.456321
Egypt,1.578624
El Salvador,4.4945703
Equatorial Guinea,-1.4043888
Eritrea,8.155065
Estonia,7.1691904
Swaziland,1.5016209
Ethiopia,6.5918627
Finland,7.1691904
France,9.001085
Gabon,-3.6184974
Gambia,20.523413
Georgia,6.343219
Germany,7.0693064
Ghana,-3.574602
Greece,5.175658
Grenada,4.2163444
Guatemala,7.1499763
Guinea,0.23021294
Guinea-Bissau,20.200443
Guyana,-1.0998182
Haiti,0.4887777
Vatican City,5.608627
Honduras,2.6480308
Hungary,6.132678
Iceland,7.3036475
India,5.3710213
Indonesia,-1.3043759
Iran,12.428139
Iraq,6.9482546
Ireland,2.8652985
Israel,9.65232
Italy,5.608627
Jamaica,-0.15497196
Jordan,3.757624
Kazakhstan,7.2370152
Kenya,0.21009609
Kuwait,2.3133583
Kyrghyzstan,0.24027276
Indonesia,4.434655
Latvia,6.5931983
Lebanon,6.9527545
Lesotho,2.412785
Liberia,2.5144553
Thailand,5.6312246
Liechtenstein,0.8500121
Lithuania,8.676123
Luxembourg,7.6201944
Madagascar,4.1429167
Malawi,-0.3341422
Maldives,10.683228
Mali,20.200443
Malta,4.0294924
Mauritania,5.550719
Mauritius,-0.592288
Mexico,-0.7261901
Iran,5.892515
Monaco,4.8704333
Montenegro,1.6847042
Morocco,3.1271906
Mozambique,2.1627176
Myanmar,4.733478
Namibia,2.160956
Turkey,2.1528485
Nepal,10.955296
Netherlands,3.926163
Nicaragua,2.2949698
Niger,20.483692
Nigeria,20.200443
Macedonia,4.7197537
Norway,7.1691904
Oman,4.5692925
Pakistan,3.9585354
Bolivia,17.868296
Panama,0.49615148
Paraguay,18.194778
Peru,9.644194
Poland,4.4434576
Portugal,0.4511885
Qatar,1.547432
Romania,-2.6001933
Russia,17.154171
Rwanda,0.5448175
Saint Kitts and Nevis,2.7178972
Saint Lucia,0.59084475
Saint Vincent and the Grenadines,0.59084475
San Marino,6.9857955
Belgium,3.3125877
Saudi Arabia,7.9631495
Senegal,1.8637524
Serbia,6.073406
Seychelles Islands,4.6864223
Sierra Leone,9.576378
Slovakia,7.988607
Slovenia,7.1432896
Somalia,-3.2318075
South Africa,8.210341
Sudan,22.056887
Spain,0.6407766
Sri Lanka,-5.7596335
Sudan,20.483692
Suriname,-1.0998182
Sweden,8.743948
Switzerland,5.4654665
Syria,9.190057
Tajikistan,5.221732
Tanzania,8.869223
Thailand,2.5144553
Bulgaria,-0.6660631
Trinidad and Tobago,2.2949698
Tunisia,6.663903
Turkey,2.4028924
Turkmenistan,5.408024
Uganda,2.1627176
Ukraine,5.0582457
United Arab Emirates,7.8902235
United Kingdom,3.3125877
United States of America,3.2880793
Uruguay,0.5349532
Uzbekistan,-3.5253615
Venezuela,2.0653956
Vietnam,3.803703
Yemen,2.153181
Zambia,18.78277
Zimbabwe,9.198491
